epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.97241,2.03153,3.88384,1.29191,0,0,0,0,2.13779,4.08888,1.4695,0,0,0
2,16.0485,2.17061,3.95313,1.33968,0,0,0,0,2.03878,3.97261,1.3821,1.9901e-05,1.9901e-05,1.9901e-05
3,22.8163,1.72039,3.76814,1.18376,0,0,0,0,1.79364,3.82547,1.28323,3.9604e-05,3.9604e-05,3.9604e-05
4,29.4819,1.60213,3.66937,1.12603,0,0,0,0,1.53347,3.73807,1.14998,5.9109e-05,5.9109e-05,5.9109e-05
5,36.1265,1.53713,3.52722,1.00599,0,0,0,0,1.25171,3.68818,1.02885,7.8416e-05,7.8416e-05,7.8416e-05
6,42.7201,1.4021,3.39438,0.94158,0.02333,1,0.07655,0.04723,1.16039,3.42989,0.93293,9.7525e-05,9.7525e-05,9.7525e-05
7,49.509,1.42756,3.12737,0.93071,0.02333,1,0.08789,0.05384,1.11214,3.35447,0.89969,0.000116436,0.000116436,0.000116436
8,56.1884,1.31938,2.86789,0.91923,0.02333,1,0.09134,0.05444,1.17981,3.32894,0.89949,0.000135149,0.000135149,0.000135149
9,62.7496,1.31893,2.63405,0.88404,0.02333,1,0.09509,0.05464,1.30578,3.3014,0.91004,0.000153664,0.000153664,0.000153664
10,69.3257,1.27462,2.2276,0.87453,0.02333,1,0.09256,0.0551,1.25777,3.23939,0.90232,0.000171981,0.000171981,0.000171981
11,75.8133,1.2429,1.87695,0.86106,0.02333,1,0.09541,0.06399,1.07997,3.14248,0.87856,0.0001901,0.0001901,0.0001901
12,82.4213,1.15195,1.44519,0.85131,0.02333,1,0.09318,0.06398,1.02433,3.05951,0.87361,0.000208021,0.000208021,0.000208021
13,88.9258,1.12053,1.18627,0.85877,0.02333,1,0.58723,0.38006,1.05446,2.96351,0.87807,0.000225744,0.000225744,0.000225744
14,95.4693,1.03909,1.07105,0.86998,0.02333,1,0.91391,0.63145,1.01758,2.82926,0.86474,0.000243269,0.000243269,0.000243269
15,102.074,1.01643,1.07561,0.87363,0.02333,1,0.96861,0.69454,0.96316,2.71126,0.85652,0.000260596,0.000260596,0.000260596
16,108.667,1.32355,1.19256,0.88946,0.02333,1,0.98219,0.66568,0.97507,2.68541,0.85714,0.000277725,0.000277725,0.000277725
17,115.256,1.21179,1.05456,0.88073,0.02333,1,0.98934,0.62877,1.07692,2.73159,0.87128,0.000294656,0.000294656,0.000294656
18,121.655,1.13024,1.04747,0.86366,0.02333,1,0.98934,0.62877,1.07692,2.73159,0.87128,0.000311389,0.000311389,0.000311389
19,128.154,1.05142,1.14122,0.85978,0.02333,1,0.99259,0.59452,1.15574,2.76368,0.88342,0.000327924,0.000327924,0.000327924
20,134.601,1.12949,0.94121,0.87022,0.02333,1,0.99259,0.59452,1.15574,2.76368,0.88342,0.000344261,0.000344261,0.000344261
21,141.337,1.07953,0.97638,0.86481,0.02333,1,0.995,0.67449,1.03349,2.73754,0.869,0.0003604,0.0003604,0.0003604
22,147.953,1.09231,0.82811,0.85605,0.02333,1,0.995,0.67449,1.03349,2.73754,0.869,0.000376341,0.000376341,0.000376341
