epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1056,1.83355,3.27954,1.49635,0.0221,0.9375,0.04569,0.02003,1.45097,3.07376,1.39731,6e-05,6e-05,6e-05
2,44.1538,1.4463,2.77266,1.24659,0.02506,0.975,0.24086,0.10988,1.24891,2.94702,1.20111,0.00013307,0.00013307,0.00013307
3,65.7444,1.26182,1.83675,1.06506,0.02657,1,0.75481,0.39056,1.21452,2.56644,1.03857,0.00019822,0.00019822,0.00019822
4,87.5677,1.12172,1.25474,1.03345,0.93757,0.56317,0.82823,0.44552,1.24886,2.27927,1.05512,0.00025545,0.00025545,0.00025545
5,109.292,1.02195,1.02702,0.9898,0.93143,0.6792,0.88756,0.45992,1.2547,2.08926,1.03362,0.00030476,0.00030476,0.00030476
6,130.956,1.02869,0.92703,0.97101,0.98424,0.78045,0.94401,0.54013,1.23312,1.92632,0.98898,0.00034615,0.00034615,0.00034615
7,152.7,0.9923,0.89588,0.95836,0.94878,0.46308,0.93101,0.49967,1.21352,2.23178,1.03648,0.00037962,0.00037962,0.00037962
8,174.599,0.98229,0.86464,0.95355,0.96383,0.33316,0.87551,0.471,1.20006,2.3463,1.0621,0.00040517,0.00040517,0.00040517
9,196.423,0.93813,0.78843,0.93874,0.97028,0.40814,0.92262,0.49622,1.14157,2.23241,1.0218,0.0004228,0.0004228,0.0004228
10,218.441,0.91603,0.79243,0.96138,1,0.44382,0.88729,0.53468,1.07408,2.23571,1.0118,0.00043251,0.00043251,0.00043251
11,240.091,0.87022,0.98268,0.90332,0.06804,0.7,0.51104,0.19923,1.29743,2.816,1.25047,0.0004343,0.0004343,0.0004343
12,261.748,0.84944,0.8614,0.91832,0.81794,0.675,0.72576,0.41346,1.09525,2.36768,1.03156,0.00042817,0.00042817,0.00042817
13,284.107,0.81554,0.76497,0.89248,0.90774,0.73794,0.85437,0.55873,1.03157,2.04673,0.9583,0.00041412,0.00041412,0.00041412
14,306.983,0.84543,0.75563,0.89105,0.9417,0.80771,0.87821,0.5857,1.01435,1.99015,0.95084,0.00039215,0.00039215,0.00039215
15,331.399,0.81323,0.7597,0.89269,0.87368,0.77816,0.76944,0.47347,1.09145,1.97152,0.99056,0.00036226,0.00036226,0.00036226
16,355.669,0.79784,0.73002,0.87762,0.86285,0.78643,0.81861,0.50657,1.09193,1.80783,0.99218,0.00032445,0.00032445,0.00032445
17,379.747,0.78514,0.72164,0.88152,0.87967,0.82245,0.87489,0.57762,1.03906,1.63468,0.9777,0.00027872,0.00027872,0.00027872
18,404.271,0.77892,0.68124,0.87526,0.95052,0.9605,0.95897,0.6537,0.99158,1.32477,0.99059,0.00022507,0.00022507,0.00022507
19,429.311,0.78018,0.68031,0.87693,0.9392,0.9655,0.96138,0.66493,0.98311,1.25424,0.99758,0.0001635,0.0001635,0.0001635
20,455.082,0.75671,0.67545,0.88528,0.93998,0.97887,0.96276,0.67205,0.96986,1.19371,0.99396,9.401e-05,9.401e-05,9.401e-05
