epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0428,1.78504,3.24054,1.47215,0.023,0.99167,0.09654,0.03268,1.33052,3.04889,1.28962,0.0001,0.0001,0.0001
2,73.9838,1.36316,2.14048,1.14241,0.10343,0.95833,0.8643,0.45691,1.16388,2.53132,1.02484,0.000215644,0.000215644,0.000215644
3,110.148,1.10113,1.24216,1.0283,0.83307,0.37431,0.6925,0.34166,1.16942,2.49923,1.04958,0.000326536,0.000326536,0.000326536
4,146.338,1.03421,1.01355,0.99973,0.9738,0.61943,0.96272,0.57569,1.07438,2.02298,0.94599,0.000432676,0.000432676,0.000432676
5,182.275,1.03798,0.90618,0.98123,0.95488,0.7054,0.93279,0.5495,1.16855,2.33238,0.99647,0.000534064,0.000534064,0.000534064
6,218.322,0.93302,0.82561,0.96715,0.96283,0.86354,0.96343,0.64536,0.97768,2.19425,0.91034,0.0006307,0.0006307,0.0006307
7,254.861,0.91154,0.74371,0.94213,0.9875,0.65815,0.97644,0.64246,0.95389,2.02131,0.89239,0.000722584,0.000722584,0.000722584
8,293.487,0.93925,0.81365,0.96833,0.94739,0.45024,0.92523,0.65284,0.91159,2.0476,0.91618,0.000809716,0.000809716,0.000809716
9,331.465,0.88934,0.71126,0.94282,1,0.83566,0.99492,0.76762,0.89114,1.6607,0.94228,0.000892096,0.000892096,0.000892096
10,367.768,0.89391,0.67371,0.93797,0.9578,0.94564,0.99112,0.76753,0.86221,1.23798,0.95307,0.000969724,0.000969724,0.000969724
11,405,0.8973,0.6691,0.94548,0.93348,0.93561,0.97957,0.74622,0.9487,1.22673,0.97641,0.0010426,0.0010426,0.0010426
12,443.652,0.91995,0.68531,0.94886,0.98716,0.975,0.99442,0.78569,0.81734,0.99825,0.94363,0.00111072,0.00111072,0.00111072
13,483.967,0.8733,0.66529,0.94939,0.99028,1,0.99483,0.72952,1.0203,0.90111,1.02267,0.0011741,0.0011741,0.0011741
14,526.718,0.86566,0.66088,0.95558,0.96429,0.95833,0.98678,0.77134,0.82833,0.89183,0.92953,0.00123272,0.00123272,0.00123272
15,597.23,0.85005,0.62211,0.91952,0.90946,0.92078,0.96715,0.7591,0.84531,0.95279,0.92912,0.00128658,0.00128658,0.00128658
16,641.039,0.84957,0.60594,0.9237,0.99145,0.96607,0.99376,0.78562,0.85412,0.60806,0.95391,0.0013357,0.0013357,0.0013357
17,695.988,0.84681,0.6125,0.94482,0.99009,0.975,0.99435,0.80606,0.76458,0.52372,0.92554,0.0013664,0.0013664,0.0013664
18,735.329,0.83453,0.61916,0.95321,0.99173,0.99892,0.99475,0.78101,0.84755,0.59081,0.96551,0.0013268,0.0013268,0.0013268
19,809.638,0.8387,0.58292,0.94273,0.99173,0.99915,0.995,0.80278,0.78305,0.54808,0.93571,0.0012872,0.0012872,0.0012872
20,850.551,0.80361,0.56725,0.92826,0.99173,0.9991,0.995,0.76779,0.85599,0.51889,0.95077,0.0012476,0.0012476,0.0012476
21,902.941,0.7852,0.54808,0.92856,1,0.99145,0.995,0.78558,0.81445,0.52554,0.93806,0.001208,0.001208,0.001208
22,943.199,0.78088,0.54076,0.90923,0.98338,0.98639,0.99399,0.80461,0.76537,0.50746,0.92352,0.0011684,0.0011684,0.0011684
23,1023.45,0.79282,0.52649,0.92266,0.96541,0.99167,0.99368,0.80166,0.7666,0.498,0.9211,0.0011288,0.0011288,0.0011288
24,1066.24,0.80291,0.51358,0.92392,0.98341,0.98805,0.99458,0.809,0.72614,0.46831,0.9147,0.0010892,0.0010892,0.0010892
25,1125.94,0.79804,0.56411,0.9365,0.98977,0.975,0.99433,0.79912,0.79121,0.46013,0.92246,0.0010496,0.0010496,0.0010496
26,1193.26,0.76857,0.53102,0.92114,1,0.99024,0.995,0.82058,0.69873,0.43786,0.90031,0.00101,0.00101,0.00101
27,1234.32,0.73741,0.49377,0.90699,0.99993,1,0.995,0.82518,0.69958,0.4372,0.89993,0.0009704,0.0009704,0.0009704
28,1277.24,0.72682,0.48278,0.89253,0.99158,1,0.99492,0.79928,0.74844,0.41582,0.91534,0.0009308,0.0009308,0.0009308
29,1357.59,0.72572,0.472,0.90672,0.999,1,0.995,0.8125,0.70311,0.39875,0.90086,0.0008912,0.0008912,0.0008912
30,1398.24,0.71143,0.45668,0.89377,0.98359,0.99907,0.99492,0.80884,0.76462,0.40411,0.91289,0.0008516,0.0008516,0.0008516
31,1440.17,0.72836,0.47024,0.90103,0.99876,0.98333,0.99492,0.81968,0.72291,0.39785,0.90143,0.000812,0.000812,0.000812
32,1485.12,0.71662,0.46781,0.92811,1,0.99037,0.995,0.82425,0.67446,0.38439,0.8947,0.0007724,0.0007724,0.0007724
33,1563.62,0.70967,0.44892,0.90343,1,0.9905,0.995,0.81425,0.72271,0.38354,0.90094,0.0007328,0.0007328,0.0007328
34,1605.13,0.6947,0.45921,0.89792,0.99886,0.99167,0.995,0.82778,0.66661,0.37658,0.88844,0.0006932,0.0006932,0.0006932
35,1671.23,0.6664,0.44009,0.88627,0.99172,0.99813,0.995,0.83101,0.66743,0.37591,0.88884,0.0006536,0.0006536,0.0006536
36,1712.24,0.68111,0.44353,0.9002,0.99171,1,0.995,0.82447,0.67997,0.36516,0.89308,0.000614,0.000614,0.000614
37,1758.33,0.68477,0.44083,0.89778,0.99173,0.99986,0.995,0.82812,0.6924,0.36468,0.89766,0.0005744,0.0005744,0.0005744
38,1809.41,0.67251,0.43015,0.89738,0.99173,0.99968,0.995,0.8216,0.69612,0.36731,0.89737,0.0005348,0.0005348,0.0005348
39,1894.3,0.68872,0.4297,0.90131,0.99173,0.99962,0.995,0.82392,0.69411,0.36554,0.89813,0.0004952,0.0004952,0.0004952
