epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78829,2.48104,4.15092,1.33252,0,0,0,0,2.45421,4.26855,1.46457,0,0,0
2,5.12742,2.19831,3.99356,1.21802,0,0,0,0,2.17466,4.09102,1.34391,1.9901e-05,1.9901e-05,1.9901e-05
3,7.42942,1.95856,3.99749,1.2222,0,0,0,0,1.74523,3.88003,1.18797,3.9604e-05,3.9604e-05,3.9604e-05
4,9.72636,1.81932,3.77023,1.1304,0,0,0,0,1.55918,3.76483,1.08245,5.9109e-05,5.9109e-05,5.9109e-05
5,11.9438,1.60052,3.65319,1.01653,0,0,0,0,1.45558,3.71022,1.00721,7.8416e-05,7.8416e-05,7.8416e-05
6,13.8834,1.30039,3.46551,0.97035,0.01,0.42857,0.00896,0.00484,1.42807,3.6227,0.94406,9.7525e-05,9.7525e-05,9.7525e-05
7,15.8544,1.33368,3.25966,0.93649,0.02333,1,0.08546,0.03791,1.45306,3.46252,0.91365,0.000116436,0.000116436,0.000116436
8,17.8545,1.31076,3.05724,0.88939,0.02333,1,0.08392,0.04393,1.46747,3.4063,0.90155,0.000135149,0.000135149,0.000135149
9,19.9647,1.3025,2.81873,0.89177,0.02333,1,0.08652,0.0435,1.54387,3.38579,0.90833,0.000153664,0.000153664,0.000153664
10,21.9769,1.2409,2.40378,0.87613,0.02333,1,0.08761,0.04785,1.47637,3.33698,0.89645,0.000171981,0.000171981,0.000171981
11,24.0192,1.31065,2.0102,0.87335,0.02333,1,0.08929,0.0563,1.29654,3.2555,0.87,0.0001901,0.0001901,0.0001901
12,26.1137,1.16682,1.75725,0.8551,0.02333,1,0.09412,0.06219,1.1545,3.15611,0.85329,0.000208021,0.000208021,0.000208021
13,28.2156,0.9915,1.30648,0.84888,0.02333,1,0.22278,0.14634,1.01967,3.06383,0.83651,0.000225744,0.000225744,0.000225744
14,30.3163,1.21156,1.1378,0.83829,0.02333,1,0.87322,0.57087,1.02916,2.96448,0.83419,0.000243269,0.000243269,0.000243269
15,32.363,0.98575,1.05919,0.86019,0.02333,1,0.995,0.62067,1.11137,2.89077,0.83796,0.000260596,0.000260596,0.000260596
16,34.7473,1.02412,0.95252,0.86025,0.02333,1,0.995,0.53882,1.24119,2.87284,0.8614,0.000277725,0.000277725,0.000277725
17,36.9504,0.99448,1.36248,0.87906,0.02333,1,0.995,0.44584,1.31438,2.90768,0.87999,0.000294656,0.000294656,0.000294656
18,38.9581,1.05716,1.04341,0.82869,0.02333,1,0.995,0.44584,1.31438,2.90768,0.87999,0.000311389,0.000311389,0.000311389
19,41.0352,1.19265,1.34038,0.86699,0.02333,1,0.995,0.42974,1.31229,2.96658,0.88904,0.000327924,0.000327924,0.000327924
20,43.1241,0.98827,0.97842,0.85168,0.02333,1,0.995,0.42974,1.31229,2.96658,0.88904,0.000344261,0.000344261,0.000344261
21,45.333,1.11736,1.27409,0.89506,0.02333,1,0.93024,0.42558,1.2056,3.00939,0.87077,0.0003604,0.0003604,0.0003604
22,47.577,0.94995,0.8668,0.8468,0.02333,1,0.93024,0.42558,1.2056,3.00939,0.87077,0.000376341,0.000376341,0.000376341
23,49.7164,0.96074,0.79189,0.83028,0.02333,1,0.67079,0.35305,1.16535,2.99704,0.85348,0.000392084,0.000392084,0.000392084
24,51.8269,0.87365,0.83518,0.81912,0.02333,1,0.67079,0.35305,1.16535,2.99704,0.85348,0.000407629,0.000407629,0.000407629
25,54.5634,1.08266,0.89149,0.83966,0.02333,1,0.59579,0.37005,1.12936,3.00607,0.84778,0.000422976,0.000422976,0.000422976
26,56.6668,0.84631,0.84932,0.84701,0.02333,1,0.59579,0.37005,1.12936,3.00607,0.84778,0.000438125,0.000438125,0.000438125
27,58.7884,1.07732,0.88508,0.83147,0.02333,1,0.41691,0.27993,1.08709,2.9666,0.83839,0.000453076,0.000453076,0.000453076
28,60.8994,0.93665,0.86307,0.85038,0.02333,1,0.41691,0.27993,1.08709,2.9666,0.83839,0.000467829,0.000467829,0.000467829
29,63.1256,0.97738,0.86594,0.82912,0.02333,1,0.40319,0.28333,1.13374,2.90144,0.8482,0.000482384,0.000482384,0.000482384
30,65.4742,1.01577,0.83964,0.85835,0.02333,1,0.40319,0.28333,1.13374,2.90144,0.8482,0.000496741,0.000496741,0.000496741
31,67.6972,0.86161,0.78614,0.84576,0.02333,1,0.44614,0.30513,1.11892,2.81816,0.85838,0.0005109,0.0005109,0.0005109
32,69.8565,0.94002,0.79133,0.81836,0.02333,1,0.44614,0.30513,1.11892,2.81816,0.85838,0.000524861,0.000524861,0.000524861
33,71.9324,1.05406,0.79388,0.88766,0.02333,1,0.5525,0.39525,1.12773,2.72902,0.86212,0.000538624,0.000538624,0.000538624
34,74.1792,0.93177,0.83056,0.85334,0.02333,1,0.5525,0.39525,1.12773,2.72902,0.86212,0.000552189,0.000552189,0.000552189
35,76.7957,1.00995,0.81825,0.86137,0.02333,1,0.66461,0.49065,1.10008,2.65305,0.86051,0.000565556,0.000565556,0.000565556
36,79.2136,1.0558,0.86019,0.85785,0.02333,1,0.66461,0.49065,1.10008,2.65305,0.86051,0.000578725,0.000578725,0.000578725
37,81.8821,0.95896,0.89432,0.82572,0.02333,1,0.65355,0.47401,1.10865,2.62933,0.86755,0.000591696,0.000591696,0.000591696
38,84.3663,0.99448,0.7346,0.85951,0.02333,1,0.65355,0.47401,1.10865,2.62933,0.86755,0.000604469,0.000604469,0.000604469
39,86.9132,0.89262,0.70702,0.85276,0.02333,1,0.3975,0.28457,1.05618,2.61256,0.8561,0.000617044,0.000617044,0.000617044
40,89.2836,0.9526,0.69474,0.85111,0.02333,1,0.3975,0.28457,1.05618,2.61256,0.8561,0.000629421,0.000629421,0.000629421
41,91.6092,0.77126,0.73811,0.86171,0.02333,1,0.29493,0.20334,0.98135,2.65573,0.83531,0.0006416,0.0006416,0.0006416
42,93.812,1.064,0.74627,0.84278,0.02333,1,0.29493,0.20334,0.98135,2.65573,0.83531,0.000653581,0.000653581,0.000653581
43,96.2591,1.02282,0.74953,0.87542,0.02333,1,0.25501,0.17638,0.97772,2.71226,0.84061,0.000665364,0.000665364,0.000665364
44,98.4282,0.99186,0.73196,0.87595,0.02333,1,0.25501,0.17638,0.97772,2.71226,0.84061,0.000676949,0.000676949,0.000676949
45,100.557,0.90362,0.69804,0.84609,0.02333,1,0.21933,0.1511,1.11883,2.76618,0.87001,0.000688336,0.000688336,0.000688336
46,102.662,0.87179,0.69566,0.85939,0.02333,1,0.21933,0.1511,1.11883,2.76618,0.87001,0.000699525,0.000699525,0.000699525
47,104.846,0.9811,0.73308,0.81442,0.02333,1,0.20673,0.14271,1.11974,2.74262,0.87071,0.000710516,0.000710516,0.000710516
48,107.013,0.87903,0.77193,0.90521,0.02333,1,0.20673,0.14271,1.11974,2.74262,0.87071,0.000721309,0.000721309,0.000721309
49,109.262,1.0266,0.78003,0.87351,0.02333,1,0.20129,0.14611,0.97824,2.65937,0.84614,0.000731904,0.000731904,0.000731904
50,111.457,0.95664,0.70383,0.81184,0.02333,1,0.20129,0.14611,0.97824,2.65937,0.84614,0.000742301,0.000742301,0.000742301
51,113.588,0.8998,0.70536,0.83458,0.02333,1,0.24696,0.17802,0.97559,2.57804,0.84364,0.0007525,0.0007525,0.0007525
52,115.719,0.89642,0.67751,0.82958,0.02333,1,0.24696,0.17802,0.97559,2.57804,0.84364,0.000762501,0.000762501,0.000762501
53,117.936,0.84765,0.65843,0.85305,0.02333,1,0.24696,0.17802,0.97559,2.57804,0.84364,0.000772304,0.000772304,0.000772304
54,120,0.82562,0.68902,0.85341,0.02333,1,0.30153,0.2154,1.03582,2.51572,0.86072,0.000781909,0.000781909,0.000781909
55,122.107,0.75455,0.60807,0.85763,0.02333,1,0.30153,0.2154,1.03582,2.51572,0.86072,0.000791316,0.000791316,0.000791316
56,124.264,0.80598,0.64827,0.83492,0.02333,1,0.30153,0.2154,1.03582,2.51572,0.86072,0.000800525,0.000800525,0.000800525
57,126.454,0.83186,0.66861,0.84043,0.02333,1,0.37839,0.23214,1.2006,2.48019,0.90588,0.000809536,0.000809536,0.000809536
58,128.546,0.85684,0.65203,0.84638,0.02333,1,0.37839,0.23214,1.2006,2.48019,0.90588,0.000818349,0.000818349,0.000818349
59,130.812,0.85758,0.64156,0.85266,0.02333,1,0.37839,0.23214,1.2006,2.48019,0.90588,0.000826964,0.000826964,0.000826964
60,133.055,0.87371,0.65695,0.82904,0.02333,1,0.36658,0.23127,1.21056,2.44599,0.91002,0.000835381,0.000835381,0.000835381
61,135.284,0.87028,0.63522,0.82868,0.02333,1,0.36658,0.23127,1.21056,2.44599,0.91002,0.0008436,0.0008436,0.0008436
62,137.529,0.80771,0.63174,0.85142,0.02333,1,0.36658,0.23127,1.21056,2.44599,0.91002,0.000851621,0.000851621,0.000851621
63,139.769,0.9491,0.64481,0.90833,0.02333,1,0.55215,0.3832,1.04184,2.42403,0.86505,0.000859444,0.000859444,0.000859444
64,141.967,0.90535,0.65779,0.83539,0.02333,1,0.55215,0.3832,1.04184,2.42403,0.86505,0.000867069,0.000867069,0.000867069
65,143.998,0.84725,0.61126,0.8493,0.02333,1,0.55215,0.3832,1.04184,2.42403,0.86505,0.000874496,0.000874496,0.000874496
66,146.147,0.83629,0.70369,0.82449,0.02333,1,0.49517,0.35216,0.97315,2.41461,0.85097,0.000881725,0.000881725,0.000881725
67,148.392,0.85305,0.62922,0.82197,0.02333,1,0.49517,0.35216,0.97315,2.41461,0.85097,0.000888756,0.000888756,0.000888756
68,150.606,0.79647,0.62801,0.86048,0.02333,1,0.49517,0.35216,0.97315,2.41461,0.85097,0.000895589,0.000895589,0.000895589
69,152.689,0.87033,0.68155,0.87096,0.06281,1,0.94212,0.59655,1.08256,2.35809,0.86589,0.000902224,0.000902224,0.000902224
70,154.743,0.80498,0.62022,0.8342,0.06281,1,0.94212,0.59655,1.08256,2.35809,0.86589,0.000908661,0.000908661,0.000908661
71,156.913,0.87458,0.62384,0.84676,0.06281,1,0.94212,0.59655,1.08256,2.35809,0.86589,0.0009149,0.0009149,0.0009149
72,159.251,0.80517,0.64271,0.82942,0.92796,0.92061,0.981,0.64369,1.09595,2.32005,0.87094,0.000920941,0.000920941,0.000920941
73,161.453,0.85952,0.649,0.81943,0.92796,0.92061,0.981,0.64369,1.09595,2.32005,0.87094,0.000926784,0.000926784,0.000926784
74,163.725,0.88313,0.678,0.81509,0.92796,0.92061,0.981,0.64369,1.09595,2.32005,0.87094,0.000932429,0.000932429,0.000932429
75,166.047,0.88723,0.67624,0.81884,1,0.75474,0.98567,0.67384,1.03918,2.28958,0.86126,0.000937876,0.000937876,0.000937876
76,168.288,0.71389,0.57686,0.82745,1,0.75474,0.98567,0.67384,1.03918,2.28958,0.86126,0.000943125,0.000943125,0.000943125
77,170.481,0.86838,0.69961,0.85071,1,0.75474,0.98567,0.67384,1.03918,2.28958,0.86126,0.000948176,0.000948176,0.000948176
78,172.776,0.81547,0.6707,0.84572,0.64349,0.78571,0.72749,0.47348,1.06326,2.28251,0.86169,0.000953029,0.000953029,0.000953029
79,174.842,0.8861,0.62913,0.84801,0.64349,0.78571,0.72749,0.47348,1.06326,2.28251,0.86169,0.000957684,0.000957684,0.000957684
80,176.944,0.73557,0.63498,0.79834,0.64349,0.78571,0.72749,0.47348,1.06326,2.28251,0.86169,0.000962141,0.000962141,0.000962141
81,179.208,0.83342,0.65631,0.82909,0.88278,1,0.995,0.69684,1.07066,2.198,0.87376,0.0009664,0.0009664,0.0009664
82,181.41,0.82853,0.59799,0.82691,0.88278,1,0.995,0.69684,1.07066,2.198,0.87376,0.000970461,0.000970461,0.000970461
83,183.608,0.92917,0.63222,0.85209,0.88278,1,0.995,0.69684,1.07066,2.198,0.87376,0.000974324,0.000974324,0.000974324
84,185.801,0.78556,0.60616,0.89742,0.93631,1,0.995,0.74162,0.99287,2.05947,0.84975,0.000977989,0.000977989,0.000977989
85,187.853,0.83662,0.6257,0.80757,0.93631,1,0.995,0.74162,0.99287,2.05947,0.84975,0.000981456,0.000981456,0.000981456
