epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10413.8,0.7829,0.51166,0.92412,0.99912,1,0.995,0.73043,0.91741,0.47012,1.07543,0.0011684,0.0011684,0.0011684
44,10531.1,0.73478,0.4775,0.90254,0.99875,1,0.995,0.7316,0.89032,0.45747,1.06679,0.0011486,0.0011486,0.0011486
45,10634.5,0.7516,0.49575,0.91302,0.99851,1,0.995,0.7397,0.90501,0.45994,1.07588,0.0011288,0.0011288,0.0011288
46,10704.4,0.76978,0.50522,0.91638,0.99879,1,0.995,0.73569,0.92036,0.45749,1.08992,0.001109,0.001109,0.001109
47,10801.8,0.7869,0.52537,0.93058,0.99899,1,0.995,0.7358,0.91422,0.44267,1.08566,0.0010892,0.0010892,0.0010892
48,10907.3,0.72214,0.46773,0.89952,0.9867,0.9875,0.98127,0.73304,0.9097,0.43688,1.07779,0.0010694,0.0010694,0.0010694
49,11017.6,0.76,0.47947,0.91868,0.99933,1,0.995,0.73933,0.89275,0.4321,1.07049,0.0010496,0.0010496,0.0010496
50,11122.9,0.72058,0.4654,0.90882,0.99922,1,0.995,0.74938,0.87677,0.4369,1.06511,0.0010298,0.0010298,0.0010298
51,11190.3,0.74771,0.47441,0.93559,0.99918,1,0.995,0.72299,0.94594,0.44773,1.10359,0.00101,0.00101,0.00101
52,11262.6,0.76352,0.47597,0.91583,0.99929,1,0.995,0.71195,0.97173,0.46102,1.12117,0.0009902,0.0009902,0.0009902
53,11370.8,0.76236,0.46975,0.91793,0.99928,1,0.995,0.73788,0.90879,0.45025,1.08072,0.0009704,0.0009704,0.0009704
54,11448.2,0.73059,0.47646,0.91558,0.99928,1,0.995,0.74865,0.88779,0.43095,1.06689,0.0009506,0.0009506,0.0009506
55,11554.3,0.73131,0.48556,0.92492,0.99933,1,0.995,0.74115,0.88022,0.43048,1.06389,0.0009308,0.0009308,0.0009308
56,11628.3,0.7313,0.47315,0.92809,0.99933,1,0.995,0.73891,0.89711,0.42787,1.0716,0.000911,0.000911,0.000911
57,11732.1,0.72357,0.45345,0.91372,0.99927,1,0.995,0.7388,0.90676,0.42067,1.07617,0.0008912,0.0008912,0.0008912
58,11824.8,0.70823,0.45045,0.90654,0.99924,1,0.995,0.73911,0.8874,0.4082,1.07003,0.0008714,0.0008714,0.0008714
59,11929.4,0.74056,0.45207,0.91684,0.99926,1,0.995,0.75129,0.88133,0.40761,1.06074,0.0008516,0.0008516,0.0008516
60,12034.1,0.72409,0.45766,0.91391,0.99923,1,0.995,0.74989,0.86466,0.40539,1.05743,0.0008318,0.0008318,0.0008318
61,12138.2,0.68146,0.42697,0.87907,0.99475,1,0.995,0.75566,0.86642,0.42042,1.06166,0.000812,0.000812,0.000812
62,12246.2,0.69404,0.43907,0.90474,0.98693,1,0.99377,0.74248,0.8827,0.41467,1.06965,0.0007922,0.0007922,0.0007922
63,12332.4,0.71666,0.43983,0.90543,0.99825,1,0.995,0.74153,0.87179,0.41301,1.06555,0.0007724,0.0007724,0.0007724
64,12401.6,0.67351,0.41657,0.89877,0.99743,1,0.995,0.7495,0.87697,0.41624,1.0625,0.0007526,0.0007526,0.0007526
65,12489,0.65428,0.42043,0.90312,0.99921,1,0.995,0.75592,0.89112,0.41787,1.06648,0.0007328,0.0007328,0.0007328
66,12575.3,0.69679,0.42432,0.88597,0.99927,1,0.995,0.74491,0.88382,0.41378,1.06201,0.000713,0.000713,0.000713
67,12681.4,0.66463,0.41976,0.88817,0.99925,1,0.995,0.74527,0.90597,0.41585,1.07448,0.0006932,0.0006932,0.0006932
68,12781.9,0.69564,0.42093,0.8959,0.99925,1,0.995,0.73872,0.92614,0.41584,1.08859,0.0006734,0.0006734,0.0006734
69,12861.1,0.68784,0.41326,0.89811,0.99926,1,0.995,0.73845,0.90412,0.39961,1.08096,0.0006536,0.0006536,0.0006536
70,12939.1,0.61264,0.38704,0.8733,0.99926,1,0.995,0.75054,0.88911,0.39892,1.0664,0.0006338,0.0006338,0.0006338
71,13035,0.66725,0.4168,0.89163,0.99925,1,0.995,0.75384,0.8904,0.39688,1.06227,0.000614,0.000614,0.000614
72,13140.9,0.64781,0.39948,0.87399,0.99891,1,0.995,0.75237,0.87585,0.39512,1.05623,0.0005942,0.0005942,0.0005942
