epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.3338,1.55226,3.15016,1.06512,0.01703,1,0.07142,0.03879,1.05335,3.13411,0.90257,0.00018,0.00018,0.00018
2,127.143,0.92919,4.34234,0.78768,0.03778,0.99149,0.94268,0.7094,0.81827,2.41275,0.85874,0.000378746,0.000378746,0.000378746
3,187.824,0.88794,1.10249,0.88523,0.06334,0.95319,0.9203,0.6765,0.86258,2.46286,0.86784,0.000576172,0.000576172,0.000576172
4,248.262,0.77169,0.84165,0.84828,0.01666,0.97021,0.5537,0.4454,0.78925,2.79952,0.86875,0.000772278,0.000772278,0.000772278
5,308.588,0.79108,0.81151,0.85207,0.97713,0.5454,0.85315,0.64502,0.87044,2.42598,0.87678,0.000967064,0.000967064,0.000967064
6,369.702,0.83946,0.80541,0.86052,0.99123,0.48077,0.92248,0.72892,0.74388,2.2627,0.85927,0.00116053,0.00116053,0.00116053
7,430.185,0.77577,0.75765,0.87725,0.94941,0.47911,0.90143,0.70711,0.78783,2.11612,0.86738,0.00135268,0.00135268,0.00135268
8,490.455,0.78683,0.71002,0.85939,0.94475,0.81702,0.93964,0.7469,0.71394,1.74163,0.86214,0.0015435,0.0015435,0.0015435
9,551.037,0.78826,0.70416,0.86959,0.94434,0.72199,0.90656,0.67427,0.9126,1.92614,0.88761,0.00173301,0.00173301,0.00173301
10,612.656,0.82204,0.7699,0.8737,0.8904,0.95319,0.95954,0.77602,0.72418,1.24847,0.86963,0.00192119,0.00192119,0.00192119
11,674.295,0.89771,0.72968,0.87375,0.88604,0.9617,0.96076,0.72405,0.78344,1.07141,0.87139,0.001934,0.001934,0.001934
12,735.736,0.87843,0.6904,0.88098,0.88298,0.96323,0.94236,0.74587,0.70371,1.02766,0.85794,0.0019274,0.0019274,0.0019274
13,796.763,0.75753,0.65757,0.84889,0.90442,0.92615,0.9601,0.78255,0.66724,0.88456,0.85811,0.0019208,0.0019208,0.0019208
14,856.602,0.76308,0.63309,0.85942,0.87453,0.9617,0.96457,0.77474,0.67455,0.91124,0.84757,0.0019142,0.0019142,0.0019142
15,917.508,0.7293,0.72001,0.83593,0.8776,0.97872,0.94893,0.75464,0.68242,0.95003,0.84961,0.0019076,0.0019076,0.0019076
16,978.001,0.70115,0.61734,0.84733,0.88678,0.97872,0.97234,0.78347,0.73672,0.68613,0.8634,0.001901,0.001901,0.001901
17,1039.42,0.74871,0.61669,0.86377,0.91383,0.95319,0.97139,0.81901,0.64867,0.66623,0.84794,0.0018944,0.0018944,0.0018944
