epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.868,2.36602,3.7395,1.50743,0.00788,0.28571,0.00601,0.00255,2.04912,3.60423,1.40228,4e-05,4e-05,4e-05
2,32.1015,2.07449,3.46382,1.31175,0.02576,0.93407,0.07308,0.0324,1.80505,3.255,1.11386,9.9505e-05,9.9505e-05,9.9505e-05
3,47.7342,1.72076,2.79924,1.10603,0.02727,0.98901,0.19477,0.08641,1.60601,3.12775,1.04445,0.000158416,0.000158416,0.000158416
4,62.5873,1.69577,1.9158,1.02325,0.02727,0.98901,0.28971,0.12365,1.74916,2.9942,1.08518,0.000216733,0.000216733,0.000216733
5,77.1684,1.6553,1.27154,1.05558,0.02758,1,0.87686,0.40114,1.65585,2.55672,1.02959,0.000274456,0.000274456,0.000274456
6,92.1376,1.59052,1.34202,1.08281,0.06683,0.98901,0.94579,0.48756,1.48807,2.42945,0.9939,0.000331585,0.000331585,0.000331585
7,106.84,1.55673,1.10141,1.05095,0.06232,0.97802,0.93543,0.4792,1.4966,2.44854,0.98936,0.00038812,0.00038812,0.00038812
8,122.14,1.48988,1.12948,1.04389,0.06231,0.96703,0.92289,0.47917,1.49239,2.47763,0.99014,0.000444061,0.000444061,0.000444061
9,137.48,1.53918,1.1312,1.04909,0.98603,0.83516,0.90822,0.48224,1.46048,2.46834,0.99471,0.000499408,0.000499408,0.000499408
10,152.225,1.51822,1.0361,1.02931,1,0.69745,0.91533,0.48587,1.48055,2.44428,0.99056,0.000554161,0.000554161,0.000554161
11,166.188,1.43564,1.01435,1.02824,1,0.44456,0.92242,0.49856,1.43947,2.30807,0.99018,0.00060832,0.00060832,0.00060832
12,181.727,1.48519,0.97081,1.0597,1,0.48027,0.92319,0.4887,1.48735,2.28219,1.00178,0.000661885,0.000661885,0.000661885
13,196.766,1.47665,0.94142,1.06148,1,0.4322,0.89193,0.47019,1.48299,2.3966,1.01301,0.000714856,0.000714856,0.000714856
14,211.906,1.4674,0.95637,1.05086,0.98106,0.56918,0.85907,0.49261,1.45067,2.50753,1.00955,0.000767233,0.000767233,0.000767233
15,228.029,1.48427,0.93953,1.02674,0.02545,0.92308,0.50618,0.30148,1.47223,2.8554,1.0546,0.000819016,0.000819016,0.000819016
16,246.184,1.47519,0.90267,1.01037,0.02636,0.95604,0.52284,0.2728,1.47935,2.82985,1.0603,0.000870205,0.000870205,0.000870205
17,262.823,1.4325,0.89179,1.03508,0.05272,1,0.83387,0.45379,1.44454,2.44886,1.0441,0.0009208,0.0009208,0.0009208
18,279.02,1.49068,0.90297,1.05983,1,0.55815,0.87926,0.46339,1.46212,2.30903,1.04338,0.000970801,0.000970801,0.000970801
19,309.965,1.37213,0.8589,1.07557,1,0.56272,0.90949,0.48146,1.48043,2.19488,1.03003,0.00102021,0.00102021,0.00102021
20,368.132,1.42629,0.86439,1.02603,1,0.73083,0.96388,0.49163,1.5046,2.066,1.02528,0.00106902,0.00106902,0.00106902
21,413.528,1.42996,0.86738,1.01288,0.97553,0.87629,0.98385,0.52768,1.45754,1.89416,1.00547,0.00111724,0.00111724,0.00111724
22,462.252,1.37086,0.84256,1.01564,0.95313,0.89396,0.97347,0.54501,1.46929,1.77526,1.01061,0.00116486,0.00116486,0.00116486
23,510.522,1.36346,0.83518,1.02001,0.95425,0.87912,0.98279,0.52548,1.50748,1.74674,1.01415,0.0012119,0.0012119,0.0012119
24,558.671,1.37899,0.83318,1.01234,0.92554,0.91209,0.98109,0.48234,1.59419,1.66857,1.03441,0.00125833,0.00125833,0.00125833
25,575.832,1.3694,0.82152,1.03634,0.91213,0.91261,0.97175,0.52531,1.52768,1.58622,1.01562,0.00130418,0.00130418,0.00130418
26,592.889,1.37574,0.84414,1.03582,0.92244,0.91485,0.9728,0.52253,1.53166,1.61545,1.04057,0.00134943,0.00134943,0.00134943
27,610.003,1.48683,0.85413,1.04847,0.92267,0.91783,0.9731,0.53372,1.5091,1.62105,1.02588,0.00139408,0.00139408,0.00139408
28,625.798,1.40084,0.84375,0.99608,0.93467,0.94327,0.97788,0.50288,1.59239,1.50994,1.0394,0.00143814,0.00143814,0.00143814
29,642.78,1.45714,0.79991,1.03501,0.93467,0.94327,0.97788,0.50288,1.59239,1.50994,1.0394,0.00148161,0.00148161,0.00148161
30,659.177,1.39186,0.81224,1.0287,0.94923,0.93407,0.98171,0.49281,1.5308,1.36995,1.05469,0.00152448,0.00152448,0.00152448
31,674.1,1.41191,0.84218,1.07661,0.93894,0.92308,0.96979,0.54528,1.46361,1.26603,1.07539,0.00156676,0.00156676,0.00156676
32,722.02,1.41173,0.80101,1.04652,0.96061,0.91209,0.95683,0.52636,1.50197,1.24076,1.09877,0.00160845,0.00160845,0.00160845
33,780.144,1.3679,0.85424,1.05913,0.96061,0.91209,0.95683,0.52636,1.50197,1.24076,1.09877,0.00164954,0.00164954,0.00164954
34,838.556,1.39606,0.80673,1.03569,0.95304,0.89205,0.96235,0.52605,1.50339,1.3077,1.0638,0.0016733,0.0016733,0.0016733
35,901.539,1.39552,0.81698,1.06126,0.92094,0.8961,0.9547,0.55792,1.42296,1.28092,1.0482,0.0016634,0.0016634,0.0016634
36,958.927,1.36024,0.78793,1.01748,0.9165,0.89011,0.95267,0.5042,1.56416,1.228,1.1195,0.0016535,0.0016535,0.0016535
37,974.363,1.32752,0.78214,1.03379,0.9165,0.89011,0.95267,0.5042,1.56416,1.228,1.1195,0.0016436,0.0016436,0.0016436
38,989.731,1.36645,0.80405,1.0235,0.9003,0.89308,0.94075,0.52485,1.49364,1.16029,1.08045,0.0016337,0.0016337,0.0016337
