epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7444,1.93631,3.71024,1.24027,0.01104,0.72603,0.02027,0.01064,1.41543,3.46201,1.01409,6e-05,6e-05,6e-05
2,49.951,1.26399,3.05534,0.96245,0.01521,1,0.06711,0.04687,0.87252,3.19884,0.85052,0.000139307,0.000139307,0.000139307
3,72.3313,1.18965,1.94807,0.8962,0.01521,1,0.28079,0.12693,1.03566,2.99361,0.88663,0.000217822,0.000217822,0.000217822
4,95.7598,0.98489,1.22301,0.86895,0.01521,1,0.92867,0.66318,0.87696,2.54939,0.83115,0.000295545,0.000295545,0.000295545
5,118.811,0.89248,1.10945,0.85622,0.01521,1,0.92611,0.70986,0.84704,2.54715,0.82991,0.000372476,0.000372476,0.000372476
6,142.136,0.93954,1.08076,0.87437,0.01521,1,0.81198,0.64024,0.81072,2.65379,0.82411,0.000448615,0.000448615,0.000448615
7,165.149,0.8785,0.99798,0.83324,0.015,0.9863,0.80578,0.6414,0.84464,2.65448,0.83531,0.000523962,0.000523962,0.000523962
8,187.872,0.86401,0.94043,0.85218,0.03286,1,0.86061,0.6465,0.91256,2.54031,0.84506,0.000598517,0.000598517,0.000598517
9,210.226,0.83559,0.89198,0.85668,0.96947,0.63014,0.78774,0.61796,0.86187,2.59364,0.83816,0.00067228,0.00067228,0.00067228
10,233.389,0.80631,0.85454,0.8634,0.47014,0.71233,0.68254,0.51424,0.95625,2.77457,0.8633,0.000745251,0.000745251,0.000745251
11,256.495,0.84229,0.82591,0.84882,0.01458,0.9589,0.34097,0.28494,0.8085,3.06268,0.86162,0.00081743,0.00081743,0.00081743
12,279.295,0.7834,0.79186,0.8447,0.01375,0.90411,0.35128,0.26247,0.94583,3.06578,0.88219,0.000888817,0.000888817,0.000888817
13,302.598,0.80971,0.80492,0.86028,1,0.18603,0.73513,0.61107,0.75715,2.66264,0.83376,0.000959412,0.000959412,0.000959412
14,325.502,0.79797,0.78056,0.87349,0.99513,0.19178,0.75144,0.59593,0.89676,2.62613,0.85599,0.00102922,0.00102922,0.00102922
15,347.556,0.73701,0.79292,0.86298,0.96275,0.35413,0.87856,0.73234,0.72892,2.42885,0.82259,0.00109823,0.00109823,0.00109823
16,371.126,0.76746,0.74853,0.84635,0.97606,0.55849,0.90422,0.75743,0.70039,2.21593,0.81628,0.00116645,0.00116645,0.00116645
17,393.826,0.73977,0.70134,0.84269,0.87338,0.75593,0.91305,0.7478,0.73358,1.98785,0.82005,0.00123387,0.00123387,0.00123387
18,415.787,0.79855,0.79604,0.85726,0.85174,0.8657,0.85387,0.66873,0.78291,1.79168,0.83506,0.00130051,0.00130051,0.00130051
19,439.233,0.77292,0.83199,0.87177,0.84744,0.83705,0.81994,0.65281,0.7841,1.85085,0.83335,0.00136635,0.00136635,0.00136635
20,462.397,0.79609,0.76942,0.86972,0.84662,0.8318,0.85337,0.70148,0.68791,1.8076,0.81899,0.0014314,0.0014314,0.0014314
21,485.235,0.74515,0.73118,0.85248,0.83215,0.93151,0.91334,0.7215,0.74276,1.44649,0.82265,0.00149566,0.00149566,0.00149566
22,510.812,0.68936,0.66595,0.83652,0.82559,0.9589,0.92946,0.71331,0.80601,1.26309,0.83195,0.00155913,0.00155913,0.00155913
23,534.396,0.73688,0.72673,0.84101,0.84132,0.94421,0.91926,0.74668,0.72696,1.2542,0.81948,0.0016218,0.0016218,0.0016218
24,557.447,0.70034,0.6452,0.82865,0.82933,0.94521,0.89379,0.72015,0.73456,1.28356,0.82211,0.00168368,0.00168368,0.00168368
25,579.945,0.78852,0.66102,0.8526,0.82996,0.93613,0.88645,0.71458,0.68524,1.2818,0.81036,0.00174478,0.00174478,0.00174478
26,603.583,0.77209,0.73292,0.87025,0.85037,0.93423,0.90015,0.70746,0.83446,1.39933,0.84642,0.0017525,0.0017525,0.0017525
27,626.833,0.8642,0.75027,0.86674,0.87802,0.88744,0.94449,0.75,0.81927,1.5445,0.84269,0.0017426,0.0017426,0.0017426
28,650.052,0.83867,0.71539,0.8588,0.85704,0.90333,0.9535,0.78246,0.74888,1.40477,0.83408,0.0017327,0.0017327,0.0017327
29,673.277,0.79871,0.74108,0.85975,0.85665,0.90049,0.95178,0.79365,0.68485,1.06435,0.82509,0.0017228,0.0017228,0.0017228
30,697.163,0.79292,0.72219,0.86347,0.8264,0.93151,0.95268,0.79786,0.68769,0.91999,0.8185,0.0017129,0.0017129,0.0017129
31,720.59,0.75228,0.67831,0.84269,0.86065,0.89041,0.94174,0.7928,0.69115,0.89055,0.82057,0.001703,0.001703,0.001703
